Customer ID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region,Age Category
AG-10390,Allen Goldenen,Consumer,47,United States,Cincinnati,Ohio,45231,East,Middle-Aged Citizen
AG-10495,Andrew Gjertsen,Corporate,24,United States,Philadelphia,Pennsylvania,19140,East,Young Citizen
AG-10525,Andy Gerbode,Corporate,69,United States,Saint Petersburg,Florida,33710,South,Old Citizen
AG-10675,Anna Gayman,Consumer,69,United States,Houston,Texas,77036,Central,Old Citizen
AG-10765,Anthony Garverick,Home Office,40,United States,Philadelphia,Pennsylvania,19120,East,Middle-Aged Citizen
AG-10900,Arthur Gainer,Consumer,56,United States,Tucson,Arizona,85705,West,Old Citizen
AH-10030,Aaron Hawkins,Corporate,60,United States,Philadelphia,Pennsylvania,19134,East,Old Citizen
AH-10075,Adam Hart,Corporate,21,United States,New York City,New York,10011,East,Young Citizen
AH-10120,Adrian Hane,Home Office,27,United States,Tucson,Arizona,85705,West,Young Citizen
AH-10195,Alan Haines,Corporate,67,United States,Tamarac,Florida,33319,South,Old Citizen
AH-10210,Alan Hwang,Consumer,58,United States,Brentwood,California,94513,West,Old Citizen
AH-10465,Amy Hunt,Consumer,24,United States,New York City,New York,10035,East,Young Citizen
AH-10585,Angele Hood,Consumer,34,United States,Chicago,Illinois,60623,Central,Young Citizen
AH-10690,Anna Haberlin,Corporate,39,United States,New York City,New York,10024,East,Middle-Aged Citizen
AI-10855,Arianne Irving,Consumer,35,United States,Philadelphia,Pennsylvania,19120,East,Young Citizen
AJ-10780,Anthony Jacobs,Corporate,47,United States,Springfield,Virginia,22153,South,Middle-Aged Citizen
AJ-10795,Anthony Johnson,Corporate,27,United States,Saint Petersburg,Florida,33710,South,Young Citizen
AJ-10945,Ashley Jarboe,Consumer,62,United States,Wilmington,North Carolina,28403,South,Old Citizen
AJ-10960,Astrea Jones,Consumer,30,United States,Rochester,New York,14609,East,Young Citizen
AM-10360,Alice McCarthy,Corporate,45,United States,Grand Prairie,Texas,75051,Central,Middle-Aged Citizen
AM-10705,Anne McFarland,Consumer,28,United States,Auburn,Alabama,36830,South,Young Citizen
AO-10810,Anthony O'Donnell,Corporate,66,United States,Los Angeles,California,90045,West,Old Citizen
AP-10720,Anne Pryor,Home Office,18,United States,New York City,New York,10035,East,Young Citizen
AP-10915,Arthur Prichep,Consumer,61,United States,Palm Coast,Florida,32137,South,Old Citizen
AR-10345,Alex Russell,Corporate,38,United States,Lawrence,Massachusetts,1841,East,Middle-Aged Citizen
AR-10405,Allen Rosenblatt,Corporate,66,United States,Franklin,Massachusetts,2038,East,Old Citizen
AR-10510,Andrew Roberts,Consumer,58,United States,Philadelphia,Pennsylvania,19134,East,Old Citizen
AR-10540,Andy Reiter,Consumer,48,United States,New York City,New York,10024,East,Middle-Aged Citizen
AR-10570,Anemone Ratner,Consumer,36,United States,Columbus,Georgia,31907,South,Middle-Aged Citizen
AR-10825,Anthony Rawles,Corporate,39,United States,Vancouver,Washington,98661,West,Middle-Aged Citizen
AS-10045,Aaron Smayling,Corporate,42,United States,Jacksonville,North Carolina,28540,South,Middle-Aged Citizen
AS-10090,Adam Shillingsburg,Consumer,46,United States,Charlottesville,Virginia,22901,South,Middle-Aged Citizen
AS-10135,Adrian Shami,Home Office,65,United States,New York City,New York,10035,East,Old Citizen
AS-10225,Alan Schoenberger,Corporate,31,United States,New York City,New York,10024,East,Young Citizen
AS-10240,Alan Shonely,Consumer,68,United States,Tampa,Florida,33614,South,Old Citizen
AS-10285,Alejandro Savely,Corporate,53,United States,San Francisco,California,94109,West,Old Citizen
AS-10630,Ann Steele,Home Office,54,United States,Pasadena,Texas,77506,Central,Old Citizen
AT-10435,Alyssa Tate,Home Office,19,United States,Los Angeles,California,90004,West,Young Citizen
AT-10735,Annie Thurman,Consumer,30,United States,Seattle,Washington,98115,West,Young Citizen
AW-10840,Anthony Witt,Consumer,37,United States,Allen,Texas,75002,Central,Middle-Aged Citizen
AW-10930,Arthur Wiediger,Home Office,58,United States,Aurora,Illinois,60505,Central,Old Citizen
AY-10555,Andy Yotov,Corporate,61,United States,Oceanside,California,92054,West,Old Citizen
AZ-10750,Annie Zypern,Consumer,59,United States,New York City,New York,10009,East,Old Citizen
BB-10990,Barry Blumstein,Corporate,41,United States,Inglewood,California,90301,West,Middle-Aged Citizen
BB-11545,Brenda Bowman,Corporate,60,United States,Houston,Texas,77070,Central,Old Citizen
BC-11125,Becky Castell,Home Office,35,United States,Peoria,Arizona,85345,West,Young Citizen
BD-11320,Bill Donatelli,Consumer,68,United States,San Francisco,California,94110,West,Old Citizen
BD-11500,Bradley Drucker,Consumer,47,United States,Green Bay,Wisconsin,54302,Central,Middle-Aged Citizen
BD-11560,Brendan Dodson,Home Office,54,United States,Fresno,California,93727,West,Old Citizen
BD-11605,Brian Dahlen,Consumer,40,United States,Lawrence,Massachusetts,1841,East,Middle-Aged Citizen
BD-11620,Brian DeCherney,Consumer,46,United States,San Francisco,California,94122,West,Middle-Aged Citizen
BD-11635,Brian Derr,Consumer,42,United States,Bowling Green,Kentucky,42104,South,Middle-Aged Citizen
BD-11725,Bruce Degenhardt,Consumer,36,United States,Richmond,Kentucky,40475,South,Middle-Aged Citizen
BD-11770,Bryan Davis,Consumer,50,United States,Houston,Texas,77070,Central,Middle-Aged Citizen
BE-11335,Bill Eplett,Home Office,20,United States,Jackson,Michigan,49201,Central,Young Citizen
BE-11410,Bobby Elias,Consumer,54,United States,Lancaster,Ohio,43130,East,Old Citizen
BE-11455,Brad Eason,Home Office,20,United States,Olathe,Kansas,66062,Central,Young Citizen
BF-10975,Barbara Fisher,Corporate,47,United States,Charlotte,North Carolina,28205,South,Middle-Aged Citizen
BF-11005,Barry Franz,Home Office,56,United States,Pasadena,California,91104,West,Old Citizen
BF-11020,Barry Franzosisch,Corporate,67,United States,Green Bay,Wisconsin,54302,Central,Old Citizen
BF-11080,Bart Folk,Consumer,23,United States,Baltimore,Maryland,21215,East,Young Citizen
BF-11170,Ben Ferrer,Home Office,19,United States,Los Angeles,California,90036,West,Young Citizen
BF-11215,Benjamin Farhat,Home Office,69,United States,Albuquerque,New Mexico,87105,West,Old Citizen
BF-11275,Beth Fritzler,Corporate,21,United States,Tucson,Arizona,85705,West,Young Citizen
BG-11035,Barry Gonzalez,Consumer,57,United States,Monroe,Louisiana,71203,South,Old Citizen
BG-11695,Brooke Gillingham,Corporate,46,United States,Cincinnati,Ohio,45231,East,Middle-Aged Citizen
BG-11740,Bruce Geld,Consumer,39,United States,Philadelphia,Pennsylvania,19120,East,Middle-Aged Citizen
BH-11710,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,Young Citizen
BK-11260,Berenike Kampe,Consumer,37,United States,New York City,New York,10035,East,Middle-Aged Citizen
BM-11140,Becky Martin,Consumer,67,United States,San Antonio,Texas,78207,Central,Old Citizen
BM-11575,Brendan Murry,Corporate,22,United States,New York City,New York,10035,East,Young Citizen
BM-11650,Brian Moss,Corporate,48,United States,New York City,New York,10035,East,Middle-Aged Citizen
BM-11785,Bryan Mills,Consumer,31,United States,Columbus,Ohio,43229,East,Young Citizen
BN-11470,Brad Norvell,Corporate,20,United States,Cary,North Carolina,27511,South,Young Citizen
BN-11515,Bradley Nguyen,Consumer,63,United States,Los Angeles,California,90049,West,Old Citizen
BO-11350,Bill Overfelt,Corporate,46,United States,Los Angeles,California,90045,West,Middle-Aged Citizen
BO-11425,Bobby Odegard,Consumer,63,United States,Richmond,Kentucky,40475,South,Old Citizen
BP-11050,Barry Pond,Corporate,65,United States,Cranston,Rhode Island,2920,East,Old Citizen
BP-11095,Bart Pistole,Corporate,30,United States,Peoria,Illinois,61604,Central,Young Citizen
BP-11155,Becky Pak,Consumer,46,United States,Columbus,Georgia,31907,South,Middle-Aged Citizen
BP-11185,Ben Peterman,Corporate,48,United States,Arvada,Colorado,80004,West,Middle-Aged Citizen
BP-11230,Benjamin Patterson,Consumer,19,United States,Spokane,Washington,99207,West,Young Citizen
BP-11290,Beth Paige,Consumer,26,United States,Evanston,Illinois,60201,Central,Young Citizen
BS-11365,Bill Shonely,Corporate,34,United States,New York City,New York,10011,East,Young Citizen
BS-11380,Bill Stewart,Corporate,53,United States,Skokie,Illinois,60076,Central,Old Citizen
BS-11590,Brendan Sweed,Corporate,45,United States,Gilbert,Arizona,85234,West,Middle-Aged Citizen
BS-11665,Brian Stugart,Consumer,21,United States,Philadelphia,Pennsylvania,19143,East,Young Citizen
BS-11755,Bruce Stewart,Consumer,59,United States,Denver,Colorado,80219,West,Old Citizen
BS-11800,Bryan Spruell,Home Office,53,United States,New York City,New York,10011,East,Old Citizen
BT-11305,Beth Thompson,Home Office,38,United States,Costa Mesa,California,92627,West,Middle-Aged Citizen
BT-11395,Bill Tyler,Corporate,32,United States,Detroit,Michigan,48227,Central,Young Citizen
BT-11440,Bobby Trafton,Consumer,20,United States,Littleton,Colorado,80122,West,Young Citizen
BT-11485,Brad Thomas,Home Office,66,United States,Clinton,Maryland,20735,East,Old Citizen
BT-11530,Bradley Talbott,Home Office,34,United States,Los Angeles,California,90036,West,Young Citizen
BT-11680,Brian Thompson,Consumer,70,United States,Newark,Ohio,43055,East,Old Citizen
BV-11245,Benjamin Venier,Corporate,46,United States,Des Moines,Iowa,50315,Central,Middle-Aged Citizen
BW-11065,Barry Weirich,Consumer,30,United States,Raleigh,North Carolina,27604,South,Young Citizen
BW-11110,Bart Watters,Corporate,50,United States,Milwaukee,Wisconsin,53209,Central,Middle-Aged Citizen
BW-11200,Ben Wallace,Consumer,31,United States,Boynton Beach,Florida,33437,South,Young Citizen
CA-11965,Carol Adams,Corporate,19,United States,Hoover,Alabama,35244,South,Young Citizen
CA-12055,Cathy Armstrong,Home Office,67,United States,Houston,Texas,77070,Central,Old Citizen
CA-12265,Christina Anderson,Consumer,49,United States,Chicago,Illinois,60610,Central,Middle-Aged Citizen
CA-12310,Christine Abelman,Corporate,68,United States,Cincinnati,Ohio,45231,East,Old Citizen
CA-12775,Cynthia Arntzen,Consumer,57,United States,Tampa,Florida,33614,South,Old Citizen
CB-12025,Cassandra Brandow,Consumer,43,United States,Hamilton,Ohio,45011,East,Middle-Aged Citizen
CB-12415,Christy Brittain,Consumer,47,United States,Columbus,Ohio,43229,East,Middle-Aged Citizen
CB-12535,Claudia Bergmann,Corporate,63,United States,Chapel Hill,North Carolina,27514,South,Old Citizen
CC-12100,Chad Cunningham,Home Office,30,United States,Columbus,Indiana,47201,Central,Young Citizen
CC-12145,Charles Crestani,Consumer,21,United States,Los Angeles,California,90004,West,Young Citizen
CC-12220,Chris Cortes,Consumer,18,United States,La Porte,Indiana,46350,Central,Young Citizen
CC-12370,Christopher Conant,Consumer,38,United States,Fayetteville,North Carolina,28314,South,Middle-Aged Citizen
CC-12430,Chuck Clark,Home Office,66,United States,Columbus,Indiana,47201,Central,Old Citizen
CC-12475,Cindy Chapman,Consumer,48,United States,New York City,New York,10024,East,Middle-Aged Citizen
CC-12550,Clay Cheatham,Consumer,42,United States,San Francisco,California,94122,West,Middle-Aged Citizen
CC-12610,Corey Catlett,Corporate,18,United States,Philadelphia,Pennsylvania,19134,East,Young Citizen
CC-12670,Craig Carreira,Consumer,22,United States,New York City,New York,10009,East,Young Citizen
CC-12685,Craig Carroll,Consumer,59,United States,Greensboro,North Carolina,27405,South,Old Citizen
CD-11920,Carlos Daly,Consumer,51,United States,Lake Elsinore,California,92530,West,Middle-Aged Citizen
CD-11980,Carol Darley,Consumer,61,United States,Tyler,Texas,75701,Central,Old Citizen
CD-12280,Christina DeMoss,Consumer,42,United States,Seattle,Washington,98105,West,Middle-Aged Citizen
CD-12790,Cynthia Delaney,Home Office,70,United States,San Diego,California,92037,West,Old Citizen
CG-12040,Catherine Glotzbach,Home Office,27,United States,Philadelphia,Pennsylvania,19120,East,Young Citizen
CG-12520,Claire Gute,Consumer,67,United States,Henderson,Kentucky,42420,South,Old Citizen
CH-12070,Cathy Hwang,Home Office,36,United States,Raleigh,North Carolina,27604,South,Middle-Aged Citizen
CJ-11875,Carl Jackson,Corporate,64,United States,Philadelphia,Pennsylvania,19140,East,Old Citizen
CJ-12010,Caroline Jumper,Consumer,64,United States,Huntington Beach,California,92646,West,Old Citizen
CK-12205,Chloris Kastensmidt,Consumer,61,United States,Philadelphia,Pennsylvania,19120,East,Old Citizen
CK-12325,Christine Kargatis,Home Office,53,United States,Orem,Utah,84057,West,Old Citizen
CK-12595,Clytie Kelty,Consumer,60,United States,Grove City,Ohio,43123,East,Old Citizen
CK-12760,Cyma Kinney,Corporate,18,United States,Linden,New Jersey,7036,East,Young Citizen
CL-11890,Carl Ludwig,Consumer,63,United States,Everett,Massachusetts,2149,East,Old Citizen
CL-12565,Clay Ludtke,Consumer,36,United States,Urbandale,Iowa,50322,Central,Middle-Aged Citizen
CL-12700,Craig Leslie,Home Office,36,United States,Springfield,Missouri,65807,Central,Middle-Aged Citizen
CM-11815,Candace McMahon,Corporate,28,United States,Pasadena,Texas,77506,Central,Young Citizen
CM-11935,Carlos Meador,Consumer,56,United States,Fayetteville,North Carolina,28314,South,Old Citizen
CM-12115,Chad McGuire,Consumer,50,United States,New York City,New York,10011,East,Middle-Aged Citizen
CM-12160,Charles McCrossin,Consumer,58,United States,Brownsville,Texas,78521,Central,Old Citizen
CM-12190,Charlotte Melton,Consumer,66,United States,Philadelphia,Pennsylvania,19134,East,Old Citizen
CM-12235,Chris McAfee,Consumer,35,United States,Carrollton,Texas,75007,Central,Young Citizen
CM-12385,Christopher Martinez,Consumer,19,United States,Atlanta,Georgia,30318,South,Young Citizen
CM-12445,Chuck Magee,Consumer,27,United States,San Francisco,California,94122,West,Young Citizen
CM-12655,Corinna Mitchell,Home Office,33,United States,Los Angeles,California,90008,West,Young Citizen
CM-12715,Craig Molinari,Corporate,53,United States,Huntsville,Texas,77340,Central,Old Citizen
Co-12640,Corey-Lock,Consumer,55,United States,Philadelphia,Pennsylvania,19143,East,Old Citizen
CP-12085,Cathy Prescott,Corporate,62,United States,Norwich,Connecticut,6360,East,Old Citizen
CP-12340,Christine Phan,Corporate,38,United States,New York City,New York,10009,East,Middle-Aged Citizen
CR-12580,Clay Rozendal,Home Office,52,United States,Elmhurst,Illinois,60126,Central,Middle-Aged Citizen
CR-12625,Corey Roper,Home Office,46,United States,#Lakewood,New Jersey,8701,East,Middle-Aged Citizen
CR-12730,Craig Reiter,Consumer,25,United States,Columbus,Ohio,43229,East,Young Citizen
CR-12820,Cyra Reiten,Home Office,38,United States,New York City,New York,10035,East,Middle-Aged Citizen
CS-11845,Cari Sayre,Corporate,24,United States,Seattle,Washington,98105,West,Young Citizen
CS-11860,Cari Schnelling,Consumer,69,United States,Jacksonville,North Carolina,28540,South,Old Citizen
CS-11950,Carlos Soltero,Consumer,18,United States,Chicago,Illinois,60610,Central,Young Citizen
CS-12130,Chad Sievert,Consumer,51,United States,Los Angeles,California,90004,West,Middle-Aged Citizen
CS-12175,Charles Sheldon,Corporate,67,United States,Columbia,Tennessee,38401,South,Old Citizen
CS-12250,Chris Selesnick,Corporate,59,United States,Bossier City,Louisiana,71111,South,Old Citizen
CS-12355,Christine Sundaresam,Consumer,63,United States,Roswell,Georgia,30076,South,Old Citizen
CS-12400,Christopher Schild,Home Office,33,United States,Chicago,Illinois,60623,Central,Young Citizen
CS-12460,Chuck Sachs,Consumer,44,United States,Columbus,Georgia,31907,South,Middle-Aged Citizen
CS-12490,Cindy Schnelling,Corporate,32,United States,Conroe,Texas,77301,Central,Young Citizen
CS-12505,Cindy Stewart,Consumer,41,United States,Thomasville,North Carolina,27360,South,Middle-Aged Citizen
CT-11995,Carol Triggs,Consumer,57,United States,Rochester,Minnesota,55901,Central,Old Citizen
CV-12295,Christina VanderZanden,Consumer,58,United States,Fresno,California,93727,West,Old Citizen
CV-12805,Cynthia Voltz,Corporate,55,United States,New York City,New York,10035,East,Old Citizen
CW-11905,Carl Weiss,Home Office,31,United States,Huntsville,Texas,77340,Central,Young Citizen
CY-12745,Craig Yedwab,Corporate,36,United States,Oakland,California,94601,West,Middle-Aged Citizen
DA-13450,Dianna Arnett,Home Office,38,United States,Houston,Texas,77095,Central,Middle-Aged Citizen
DB-12910,Daniel Byrd,Home Office,38,United States,Tampa,Florida,33614,South,Middle-Aged Citizen
DB-12970,Darren Budd,Corporate,42,United States,Los Angeles,California,90004,West,Middle-Aged Citizen
DB-13060,Dave Brooks,Consumer,50,United States,Seattle,Washington,98115,West,Middle-Aged Citizen
DB-13120,David Bremer,Corporate,60,United States,Santa Clara,California,95051,West,Old Citizen
DB-13210,Dean Braden,Consumer,41,United States,Houston,Texas,77041,Central,Middle-Aged Citizen
DB-13270,Deborah Brumfield,Home Office,24,United States,San Diego,California,92024,West,Young Citizen
DB-13360,Dennis Bolton,Home Office,41,United States,New York City,New York,10009,East,Middle-Aged Citizen
DB-13405,Denny Blanton,Consumer,41,United States,La Porte,Indiana,46350,Central,Middle-Aged Citizen
DB-13555,Dorothy Badders,Corporate,58,United States,Jacksonville,Florida,32216,South,Old Citizen
DB-13615,Doug Bickford,Consumer,19,United States,Los Angeles,California,90045,West,Young Citizen
DB-13660,Duane Benoit,Consumer,21,United States,Oceanside,New York,11572,East,Young Citizen
DC-12850,Dan Campbell,Consumer,50,United States,Florence,Alabama,35630,South,Middle-Aged Citizen
DC-13285,Debra Catini,Consumer,48,United States,Cottage Grove,Minnesota,55016,Central,Middle-Aged Citizen
DD-13570,Dorothy Dickinson,Consumer,32,United States,Houston,Texas,77041,Central,Young Citizen
DE-13255,Deanra Eno,Home Office,42,United States,Springfield,Ohio,45503,East,Middle-Aged Citizen
DF-13135,David Flashing,Consumer,45,United States,Vallejo,California,94591,West,Middle-Aged Citizen
DG-13300,Deirdre Greer,Corporate,60,United States,Philadelphia,Pennsylvania,19134,East,Old Citizen
DH-13075,Dave Hallsten,Corporate,58,United States,Richmond,Kentucky,40475,South,Old Citizen
DH-13675,Duane Huffman,Home Office,65,United States,Quincy,Massachusetts,2169,East,Old Citizen
DJ-13420,Denny Joy,Corporate,21,United States,Warner Robins,Georgia,31088,South,Young Citizen
DJ-13510,Don Jones,Corporate,67,United States,Murfreesboro,Tennessee,37130,South,Old Citizen
DJ-13630,Doug Jacobs,Consumer,41,United States,New York City,New York,10024,East,Middle-Aged Citizen
DK-12835,Damala Kotsonis,Corporate,57,United States,#Salinas,California,93905,West,Old Citizen
DK-12895,Dana Kaydos,Consumer,47,United States,Kenosha,Wisconsin,53142,Central,Middle-Aged Citizen
DK-12985,Darren Koutras,Consumer,58,United States,Henderson,Kentucky,42420,South,Old Citizen
DK-13090,Dave Kipp,Consumer,24,United States,Seattle,Washington,98103,West,Young Citizen
DK-13150,David Kendrick,Corporate,20,United States,Decatur,Illinois,62521,Central,Young Citizen
DK-13225,Dean Katz,Corporate,36,United States,Philadelphia,Pennsylvania,19140,East,Middle-Aged Citizen
DK-13375,Dennis Kane,Consumer,56,United States,Marion,Ohio,43302,East,Old Citizen
Dl-13600,Dorris liebe,Corporate,68,United States,Pasadena,Texas,77506,Central,Old Citizen
DL-12865,Dan Lawera,Consumer,26,United States,Cincinnati,Ohio,45231,East,Young Citizen
DL-12925,Daniel Lacy,Consumer,23,United States,Oceanside,California,92054,West,Young Citizen
DL-13315,Delfina Latchford,Consumer,48,United States,New York City,New York,10024,East,Middle-Aged Citizen
DL-13330,Denise Leinenbach,Consumer,69,United States,Las Cruces,New Mexico,88001,West,Old Citizen
DL-13495,Dionis Lloyd,Corporate,52,United States,San Francisco,California,94110,West,Middle-Aged Citizen
DM-12955,Dario Medina,Corporate,26,United States,Lincoln Park,Michigan,48146,Central,Young Citizen
DM-13015,Darrin Martin,Consumer,53,United States,Encinitas,California,92024,West,Old Citizen
DM-13345,Denise Monton,Corporate,46,United States,Roswell,Georgia,30076,South,Middle-Aged Citizen
DM-13525,Don Miller,Corporate,18,United States,Houston,Texas,77070,Central,Young Citizen
DN-13690,Duane Noonan,Consumer,42,United States,San Francisco,California,94122,West,Middle-Aged Citizen
DO-13435,Denny Ordway,Consumer,25,United States,Pembroke Pines,Florida,33024,South,Young Citizen
DO-13645,Doug O'Connell,Consumer,20,United States,Los Angeles,California,90036,West,Young Citizen
Dp-13240,Dean percer,Home Office,64,United States,Murray,Utah,84107,West,Old Citizen
DP-13000,Darren Powers,Consumer,40,United States,New Albany,Indiana,47150,Central,Middle-Aged Citizen
DP-13105,Dave Poirier,Corporate,66,United States,#Salinas,California,93905,West,Old Citizen
DP-13165,David Philippe,Consumer,50,United States,New York City,New York,10035,East,Middle-Aged Citizen
DP-13390,Dennis Pardue,Home Office,44,United States,Peoria,Illinois,61604,Central,Middle-Aged Citizen
DR-12880,Dan Reichenbach,Corporate,68,United States,Chicago,Illinois,60623,Central,Old Citizen
DR-12940,Daniel Raglin,Home Office,65,United States,Franklin,Massachusetts,2038,East,Old Citizen
DS-13030,Darrin Sayre,Home Office,62,United States,Seattle,Washington,98115,West,Old Citizen
DS-13180,David Smith,Corporate,41,United States,Detroit,Michigan,48227,Central,Middle-Aged Citizen
DV-13045,Darrin Van Huff,Corporate,31,United States,Los Angeles,California,90036,West,Young Citizen
DV-13465,Dianna Vittorini,Consumer,60,United States,Denver,Colorado,80219,West,Old Citizen
DW-13195,David Wiener,Corporate,55,United States,Houston,Texas,77095,Central,Old Citizen
DW-13480,Dianna Wilson,Home Office,25,United States,Lakeville,Minnesota,55044,Central,Young Citizen
DW-13540,Don Weiss,Consumer,60,United States,Seattle,Washington,98105,West,Old Citizen
DW-13585,Dorothy Wardle,Corporate,62,United States,Columbus,Ohio,43229,East,Old Citizen
EA-14035,Erin Ashbrook,Corporate,61,United States,Charlotte,North Carolina,28205,South,Old Citizen
EB-13705,Ed Braxton,Corporate,41,United States,Akron,Ohio,44312,East,Middle-Aged Citizen
EB-13750,Edward Becker,Corporate,20,United States,Seattle,Washington,98103,West,Young Citizen
EB-13840,Ellis Ballard,Corporate,25,United States,Seattle,Washington,98105,West,Young Citizen
EB-13870,Emily Burns,Consumer,34,United States,Orem,Utah,84057,West,Young Citizen
EB-13930,Eric Barreto,Consumer,63,United States,San Francisco,California,94110,West,Old Citizen
EB-13975,Erica Bern,Corporate,53,United States,Fairfield,California,94533,West,Old Citizen
EB-14110,Eugene Barchas,Consumer,44,United States,Philadelphia,Pennsylvania,19134,East,Middle-Aged Citizen
EB-14170,Evan Bailliet,Consumer,64,United States,Wilmington,North Carolina,28403,South,Old Citizen
EC-14050,Erin Creighton,Consumer,52,United States,New York City,New York,10024,East,Middle-Aged Citizen
ED-13885,Emily Ducich,Home Office,28,United States,San Diego,California,92037,West,Young Citizen
EG-13900,Emily Grady,Consumer,60,United States,Oceanside,New York,11572,East,Old Citizen
EH-13765,Edward Hooks,Corporate,44,United States,Watertown,New York,13601,East,Middle-Aged Citizen
EH-13945,Eric Hoffmann,Consumer,21,United States,Los Angeles,California,90049,West,Young Citizen
EH-13990,Erica Hackney,Consumer,22,United States,Roswell,Georgia,30076,South,Young Citizen
EH-14005,Erica Hernandez,Home Office,38,United States,Denver,Colorado,80219,West,Middle-Aged Citizen
EH-14125,Eugene Hildebrand,Home Office,41,United States,Aurora,Illinois,60505,Central,Middle-Aged Citizen
EH-14185,Evan Henry,Consumer,31,United States,Decatur,Alabama,35601,South,Young Citizen
EJ-13720,Ed Jacobs,Consumer,44,United States,San Diego,California,92037,West,Middle-Aged Citizen
EJ-14155,Eva Jacobs,Consumer,22,United States,Gulfport,Mississippi,39503,South,Young Citizen
EK-13795,Eileen Kiefer,Home Office,25,United States,Santa Ana,California,92704,West,Young Citizen
EL-13735,Ed Ludwig,Home Office,42,United States,Columbia,Maryland,21044,East,Middle-Aged Citizen
EM-13810,Eleni McCrary,Corporate,59,United States,Los Angeles,California,90036,West,Old Citizen
EM-13825,Elizabeth Moffitt,Corporate,63,United States,Sioux Falls,South Dakota,57103,Central,Old Citizen
EM-13960,Eric Murdock,Consumer,46,United States,Philadelphia,Pennsylvania,19134,East,Middle-Aged Citizen
EM-14065,Erin Mull,Consumer,48,United States,New York City,New York,10024,East,Middle-Aged Citizen
EM-14095,Eudokia Martin,Corporate,56,United States,Los Angeles,California,90036,West,Old Citizen
EM-14140,Eugene Moren,Home Office,49,United States,Glendale,Arizona,85301,West,Middle-Aged Citizen
EM-14200,Evan Minnotte,Home Office,52,United States,Virginia Beach,Virginia,23464,South,Middle-Aged Citizen
EN-13780,Edward Nazzal,Consumer,64,United States,New York City,New York,10035,East,Old Citizen
EP-13915,Emily Phan,Consumer,38,United States,Chicago,Illinois,60653,Central,Middle-Aged Citizen
ER-13855,Elpida Rittenbach,Corporate,56,United States,Saint Paul,Minnesota,55106,Central,Old Citizen
ES-14020,Erica Smith,Consumer,47,United States,San Francisco,California,94110,West,Middle-Aged Citizen
ES-14080,Erin Smith,Corporate,20,United States,Melbourne,Florida,32935,South,Young Citizen
FA-14230,Frank Atkinson,Corporate,34,United States,Long Beach,California,90805,West,Young Citizen
FC-14245,Frank Carlisle,Home Office,20,United States,#Lakewood,Ohio,44107,East,Young Citizen
FC-14335,Fred Chung,Corporate,64,United States,Mesquite,Texas,75150,Central,Old Citizen
FG-14260,Frank Gastineau,Home Office,67,United States,San Francisco,California,94110,West,Old Citizen
FH-14275,Frank Hawley,Corporate,26,United States,La Porte,Indiana,46350,Central,Young Citizen
FH-14350,Fred Harton,Consumer,45,United States,Seattle,Washington,98105,West,Middle-Aged Citizen
FH-14365,Fred Hopkins,Corporate,49,United States,Philadelphia,Pennsylvania,19120,East,Middle-Aged Citizen
FM-14215,Filia McAdams,Corporate,62,United States,Dublin,Ohio,43017,East,Old Citizen
